,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mean_d_prime[Easy Simple],4.139,0.349,3.485,4.772,0.004,0.004,9004.0,6689.0,1.0
mean_d_prime[Easy Complex],4.533,0.373,3.854,5.238,0.004,0.004,10098.0,7099.0,1.0
mean_d_prime[Hard Simple],2.509,0.338,1.888,3.162,0.003,0.004,11690.0,6045.0,1.0
mean_d_prime[Hard Complex],2.259,0.378,1.561,2.98,0.004,0.004,8591.0,6186.0,1.0
mean_criterion[Easy Simple],2.431,0.164,2.13,2.743,0.002,0.002,9133.0,6059.0,1.0
mean_criterion[Easy Complex],2.608,0.17,2.292,2.937,0.002,0.002,12349.0,6999.0,1.0
mean_criterion[Hard Simple],1.049,0.166,0.739,1.356,0.001,0.002,13278.0,6350.0,1.0
mean_criterion[Hard Complex],0.929,0.173,0.607,1.253,0.002,0.002,9164.0,6267.0,1.0
