,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"criterion[5, Hard Simple]",0.542,0.066,0.418,0.661,0.001,0.001,13697.0,6205.0,1.0
"criterion[5, Hard Complex]",0.481,0.065,0.36,0.604,0.001,0.001,12290.0,6759.0,1.0
"criterion[6, Easy Simple]",3.737,0.198,3.371,4.11,0.002,0.002,11758.0,6872.0,1.0
"criterion[6, Easy Complex]",3.622,0.191,3.274,3.982,0.002,0.002,11323.0,5904.0,1.0
"criterion[6, Hard Simple]",1.405,0.08,1.249,1.553,0.001,0.001,13197.0,6595.0,1.0
"criterion[6, Hard Complex]",1.459,0.08,1.302,1.606,0.001,0.001,10479.0,5896.0,1.0
"criterion[7, Easy Simple]",2.934,0.139,2.675,3.192,0.001,0.001,12645.0,6608.0,1.0
"criterion[7, Easy Complex]",3.017,0.143,2.754,3.289,0.001,0.002,12498.0,6236.0,1.0
"criterion[7, Hard Simple]",1.013,0.073,0.875,1.149,0.001,0.001,11198.0,6136.0,1.0
"criterion[7, Hard Complex]",1.053,0.074,0.918,1.197,0.001,0.001,11711.0,5974.0,1.0
"criterion[8, Easy Simple]",3.217,0.152,2.929,3.501,0.001,0.002,10939.0,6935.0,1.0
"criterion[8, Easy Complex]",3.363,0.165,3.065,3.682,0.001,0.002,12627.0,6003.0,1.0
"criterion[8, Hard Simple]",1.126,0.073,0.995,1.267,0.001,0.001,11421.0,6278.0,1.0
"criterion[8, Hard Complex]",1.03,0.071,0.896,1.161,0.001,0.001,14108.0,6466.0,1.0
"criterion[9, Easy Simple]",2.394,0.11,2.18,2.591,0.001,0.001,12067.0,6230.0,1.0
"criterion[9, Easy Complex]",2.624,0.124,2.399,2.865,0.001,0.001,12371.0,6408.0,1.0
"criterion[9, Hard Simple]",0.741,0.068,0.612,0.867,0.001,0.001,11865.0,6848.0,1.0
"criterion[9, Hard Complex]",0.859,0.07,0.723,0.987,0.001,0.001,11302.0,6651.0,1.0
"criterion[10, Easy Simple]",2.732,0.128,2.496,2.971,0.001,0.001,13032.0,6263.0,1.0
"criterion[10, Easy Complex]",2.884,0.135,2.627,3.127,0.001,0.002,11895.0,5454.0,1.0
"criterion[10, Hard Simple]",1.005,0.072,0.866,1.135,0.001,0.001,12840.0,6991.0,1.0
"criterion[10, Hard Complex]",0.976,0.071,0.847,1.112,0.001,0.001,12138.0,6370.0,1.0
